epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.6878305925941467,0.756,0.4665881477355957,0.8287,37.00389928650111
2,0.39056567764282224,0.86014,0.35972246541976927,0.8716,35.292675704695284
3,0.3384575266933441,0.87786,0.3310766775131226,0.88,36.702240956015885
4,0.311259993519783,0.88828,0.3179194300174713,0.8867,33.93854921963066
5,0.28562150683403015,0.8968,0.2960896644592285,0.8945,37.12648611608893
6,0.2696810521697998,0.90318,0.2913415668487549,0.8943,37.71133801154792
7,0.2552817726230621,0.90742,0.27287204489707945,0.9019,35.11480878666043
8,0.24431935847759248,0.91178,0.2692362041950226,0.904,36.682063756510615
9,0.2350524561882019,0.91402,0.2775403923511505,0.9006,37.224026509560645
10,0.2250815425491333,0.9177,0.25824220786094665,0.9091,36.389282029122114
11,0.21614122701644897,0.92036,0.26705956087112426,0.9046,34.48975358903408
12,0.20550467361927033,0.92556,0.2769368577003479,0.9021,37.66803627368063
13,0.1994783321762085,0.92678,0.2509231761932373,0.9126,36.603910450823605
14,0.1885373853111267,0.93152,0.2510524817705154,0.912,36.080954072996974
15,0.18346584762096405,0.9315,0.25247401537895203,0.9114,34.19275010563433
