epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds
1,0.6244097062492371,0.78858,0.49608266944885254,0.8329,12.964933280833066
2,0.43166111561775206,0.84944,0.40229997215270996,0.8618,12.824969162233174
3,0.3937116678237915,0.86098,0.3813909727096558,0.8667,12.51721684075892
4,0.3670920442581177,0.87022,0.37518657970428465,0.8657,14.472337466664612
5,0.34327963117599486,0.87704,0.35194511184692384,0.8757,13.693589173257351
6,0.32505440212249753,0.88246,0.34692714071273806,0.8786,13.704787067137659
7,0.31284833969593046,0.88706,0.3395016558647156,0.8801,12.943188375793397
8,0.3012557991504669,0.89028,0.3360667476654053,0.8808,12.61465746536851
9,0.2910074399185181,0.89374,0.3477888477325439,0.8771,12.641525777056813
10,0.2838734561920166,0.89572,0.3238646216869354,0.8857,13.2024343945086
11,0.2730736474132538,0.90082,0.3339953783035278,0.882,12.833554435521364
12,0.26519211606502535,0.90344,0.3266750104904175,0.8851,12.910001261159778
13,0.2572317460632324,0.90572,0.32196052989959717,0.8849,12.843014491721988
14,0.250827016248703,0.90818,0.31818823046684264,0.886,12.827423823066056
15,0.24826519920349122,0.90992,0.3176238972187042,0.8881,14.17041894607246
